base_currency,quote_currency,start_time,open_time,close_time,open_bid,open_ask,open_midpoint,close_bid,close_ask,close_midpoint,average_bid,average_ask,average_midpoint,high_bid,high_ask,high_midpoint,low_bid,low_ask,low_midpoint
USD,CAD,2021-01-03T00:00:00+00:00,2021-01-03T00:00:00+00:00,2021-01-03T23:59:59+00:00,1.27080,1.27716,1.27398,1.27080,1.27716,1.27398,1.27080,1.27716,1.27398,,,,,,
USD,CHF,2021-01-03T00:00:00+00:00,2021-01-03T00:00:00+00:00,2021-01-03T23:59:59+00:00,0.878086,0.882488,0.880287,0.878086,0.882488,0.880287,0.878086,0.882488,0.880287,,,,,,
USD,EUR,2021-01-03T00:00:00+00:00,2021-01-03T00:00:00+00:00,2021-01-03T23:59:59+00:00,0.812893,0.816967,0.814930,0.812893,0.816967,0.814930,0.812893,0.816967,0.814930,0.812893,0.816967,0.814930,0.812893,0.816967,0.814930
USD,GBP,2021-01-03T00:00:00+00:00,2021-01-03T00:00:00+00:00,2021-01-03T23:59:59+00:00,0.730814,0.734478,0.732646,0.730814,0.734478,0.732646,0.730814,0.734478,0.732646,,,,,,
USD,JPY,2021-01-03T00:00:00+00:00,2021-01-03T00:00:00+00:00,2021-01-03T23:59:59+00:00,102.822,103.338,103.080,102.822,103.338,103.080,102.822,103.338,103.080,,,,,,
USD,SEK,2021-01-03T00:00:00+00:00,2021-01-03T00:00:00+00:00,2021-01-03T23:59:59+00:00,8.15681,8.19769,8.17725,8.15681,8.19769,8.17725,8.15681,8.19769,8.17725,,,,,,
